"filename", "language", "C", "Makefile", "nasm", "C++", "comment", "blank", "total"
"/home/singheart/projects/hariOS/Makefile", "Makefile", 0, 46, 0, 0, 0, 12, 58
"/home/singheart/projects/hariOS/boot/32bit_gdt.asm", "nasm", 0, 0, 23, 0, 1, 4, 28
"/home/singheart/projects/hariOS/boot/32bit_switch.asm", "nasm", 0, 0, 19, 0, 0, 2, 21
"/home/singheart/projects/hariOS/boot/bootsect.asm", "nasm", 0, 0, 74, 0, 6, 12, 92
"/home/singheart/projects/hariOS/boot/disk.asm", "nasm", 0, 0, 63, 0, 13, 14, 90
"/home/singheart/projects/hariOS/boot/include/const_value.inc", "nasm", 0, 0, 15, 0, 4, 5, 24
"/home/singheart/projects/hariOS/boot/include/fat12hdr.inc", "nasm", 0, 0, 21, 0, 4, 2, 27
"/home/singheart/projects/hariOS/boot/kernel_entry.asm", "nasm", 0, 0, 6, 0, 0, 0, 6
"/home/singheart/projects/hariOS/boot/loader.asm", "nasm", 0, 0, 60, 0, 3, 9, 72
"/home/singheart/projects/hariOS/boot/print.asm", "nasm", 0, 0, 49, 0, 13, 23, 85
"/home/singheart/projects/hariOS/boot/switch_graphic_mode.asm", "nasm", 0, 0, 131, 0, 39, 24, 194
"/home/singheart/projects/hariOS/cpu/gdt.c", "C", 19, 0, 0, 0, 3, 7, 29
"/home/singheart/projects/hariOS/cpu/idt.c", "C", 15, 0, 0, 0, 11, 1, 27
"/home/singheart/projects/hariOS/cpu/interrupts.asm", "nasm", 0, 0, 207, 0, 42, 48, 297
"/home/singheart/projects/hariOS/cpu/isr.c", "C", 124, 0, 0, 0, 9, 17, 150
"/home/singheart/projects/hariOS/cpu/register.c", "C", 20, 0, 0, 0, 6, 4, 30
"/home/singheart/projects/hariOS/cpu/timer.c", "C", 97, 0, 0, 0, 30, 21, 148
"/home/singheart/projects/hariOS/drivers/ata.c", "C", 131, 0, 0, 0, 19, 26, 176
"/home/singheart/projects/hariOS/drivers/keyboard.c", "C", 66, 0, 0, 0, 5, 5, 76
"/home/singheart/projects/hariOS/drivers/mouse.c", "C", 97, 0, 0, 0, 23, 16, 136
"/home/singheart/projects/hariOS/drivers/ports.c", "C", 25, 0, 0, 0, 16, 5, 46
"/home/singheart/projects/hariOS/fs/dir.c", "C", 77, 0, 0, 0, 9, 16, 102
"/home/singheart/projects/hariOS/fs/fs.c", "C", 175, 0, 0, 0, 25, 52, 252
"/home/singheart/projects/hariOS/fs/inode.c", "C", 37, 0, 0, 0, 2, 4, 43
"/home/singheart/projects/hariOS/gui/background.c", "C", 13, 0, 0, 0, 0, 2, 15
